,categories,seedwords,words,rseeds
0,help,"['benefit', 'housework', 'cooperate']","['impose', 'compensate', 'interference', 'help', 'assistance', 'beneficial', 'resort', 'comply', 'services', 'involvement', 'undermine', 'oppose', 'educate', 'endanger', 'cooperate', 'appeal', 'succeed', 'conduct', 'execute', 'deter', 'dictate', 'benefit', 'own_benefit', 'negotiate', 'undertake', 'obtain', 'persuasion', 'finances', 'utilize', 'interfere', 'necessity', 'consent', 'consult', 'methods', 'discourage', 'exploit', 'employ', 'reward', 'bargain', 'influence', 'permit', 'compromise', 'discipline', 'provide', 'resolve', 'free_will', 'housework', 'acquire', 'discretion', 'appease', 'justify', 'disregard', 'compromised', 'bribery', 'conform', 'obligation', 'require', 'therefore', 'punishments', 'contribute']","[10, 54, 39]"
1,office,"['intercom', 'informational', 'client']","['mayor', 'landlord', 'receptionist', 'staff_member', 'dispatcher', 'emergency', 'pager', 'flight_attendant', 'concierge', 'technician', 'informing', 'supervisor', 'announcements', 'officer', 'announcing', 'head_teacher', 'dispatch', 'announcement', 'conference', 'last_call', 'intercom', 'report', 'attendant', 'telephone', 'transmission', 'station', 'pilot', 'principal', 'producer', 'customer', 'chief', 'mr_brown', 'headmaster', 'secretary', 'briefing', 'application', 'attorney', 'communications', 'director', 'morning_announcements', 'robotic_voice', 'intercome', 'comms', 'client', 'instructor', 'police_department', 'loud_speaker', 'pa_system', 'informational', 'mr_smith', 'reporter', 'employee', 'visitor', 'lecturer', 'vice_principal', 'agent', 'news_reporter', 'service', 'office', 'assistant', 'headmistress', 'administrator', 'air_hostess', 'investigator', 'automated_voice', 'speaker', 'new_customer', 'loudspeaker', 'announcer', 'operator', 'comm', 'attendance', 'buzzer', 'costumer', 'manager', 'principle', 'office_phone', 'intern', 'conductor', 'mr_jones', 'president', 'escort', 'program']","[76, 59, 75]"
2,dance,"['glee', 'ballroom', 'choir']","['delight', 'glee', 'theatre', 'performers', 'cheers', 'applause', 'chorus', 'entourage', 'chapel', 'joyfully', 'audiences', 'banquet_hall', 'praises', 'crowed', 'great_hall', 'trio', 'crowd', 'dance_room', 'dance', 'performing', 'little_circle', 'auditorium', 'dancers', 'waltz', 'large_crowd', 'merrily', 'pavilion', 'congregation', 'large_room', 'entire_crowd', 'festival', 'cheering', 'host', 'clapping', 'grand_entrance', 'national_anthem', 'grand_hall', 'gymnasium', 'excitement', 'duo', 'festivities', 'choir', 'celebration', 'choir_room', 'quartet', 'crowds', 'joy', 'procession', 'town_square', 'cheer', 'other_dancers', 'stage', 'huge_crowd', 'cheered', 'troupe', 'stands', 'main_hall', 'spectators', 'whole_crowd', 'church', 'ballroom', 'center_stage', 'courtyard', 'small_stage', 'dining_hall', 'spotlights', 'applauding', 'school_gym', 'dj', 'onstage', 'mosh_pit', 'orchestra', 'dancing', 'stadium', 'music_room', 'ball_room', 'theater', 'musicians', 'audience', 'small_crowd', 'applauded']","[5, 78, 19]"
3,money,"['count', 'cheque', 'donation']","['costs', 'allotted', 'receive', 'deals', 'profits', 'worth', 'donate', 'list', 'two_hundred', 'rewards', 'payments', 'forty', 'ten', 'equal', 'sixty', 'eighty', 'record', 'acquire', 'sponsor', 'five_hundred', 'fifty', 'total', 'monthly', 'three_thousand', 'dollars', 'count', 'price', 'cheque', 'kills', 'one_hundred', 'priority', 'earnings', 'counts', 'compensation', 'grand', 'allowance', 'deposit', 'one_thousand', 'minimum', 'pennies', 'deduct', 'value', 'insurance', 'exceptions', 'salary', 'shares', 'tesserae', 'times', 'bank_account', '20', 'limit', 'wages', 'donated', 'cost', 'a_hundred', 'require', 'at_least_one', 'five_thousand', 'specified', 'counted', 'deducted', 'divide', 'copies', 'trade', 'thirty', 'profit', 'clearance', 'hundred', 'employ', 'donation', 'money', 'tax', 'euros', 'detentions', 'currency', 'gamble', 'number', 'stocks', 'earn', 'owing', 'three_hundred', 'winnings', 'measure', 'percentage', '000', 'estimate', 'listed', 'fee', 'counting', 'qualify', 'work', 'seventy', 'allowances', 'account', 'twenty', 'each', 'payment', 'lists', 'donations', 'awarded', 'multiply', 'pay', 'sponsors', 'ten_thousand']","[72, 96, 45]"
4,wedding,"['remarry', 'finance', 'vow']","['vowed', 'long_life', 'family_name', 'avenging', 'accords', 'betrothal', 'inheritance', 'sacrifice', 'better_world', 'wishes', 'pact', 'spouse', 'forsake', 'allegiance', 'faithful', 'ruling', 'decision', 'brotherhood', 'decreed', 'privilege', 'tyrant', 'trust', 'obligation', 'death_sentence', 'pledged', 'law', 'betrothed', 'greater_good', 'courtship', 'unborn_child', 'wise_man', 'pledge', 'honour', 'conception', 'oath', 'many_years', 'remarry', 'faithfully', 'bargain', 'final_decision', 'bloodline', 'marriage', 'oaths', 'ambitions', 'good_wife', 'free_man', 'commitment', 'strived', 'independence', 'goodwill', 'better_future', 'banishment', 'loyalty', 'successor', 'many_years_ago', 'birthright', 'own_life', 'conceived', 'legacy', 'commitments', 'last_wish', 'deeds', 'consent', 'wed', 'wedded', 'eternal_life', 'fulfilling', 'finance', 'higher_power', 'dying_wish', 'fated', 'vow', 'treaty', 'peaceful_life', 'counsel', 'entrusted', 'honor', 'immortality', 'very_reason', 'imprisonment', 'fulfil', 'sacrifices', 'reconciled', 'redemption', 'own_choice', 'beloved_wife', 'exile', 'forbade', 'laws', 'celibacy', 'deathbed', 'wedding', 'promise', 'empire']","[87, 41, 82]"
5,domestic_work,"['scrubbing', 'kitchen', 'mum']","['breakfast', 'fridge', 'downstairs_bathroom', 'livingroom', 'sink', 'dishwasher', 'domestic_work', 'bedroom', 'small_kitchen', 'bathroom', 'stairs', 'cleaning', 'sitting_room', 'kitchen', 'mum', 'cooking', 'tiny_kitchen', 'dinning_room', 'dining_room', 'dining_table', 'tidying', 'front_room', 'anne', 'laundry_room', 'washing', 'downstairs', 'family_room', 'gemma', 'living_room', 'mom', 'lounge_room', 'cupboard', 'upstairs', 'kitchen_table', 'lounge', 'scrubbing', 'dining_room_table', 'dishes']","[4, 24, 18]"
6,sleep,"['dreamt', 'peaceful', 'wakeup']","['peaceful', 'sleep', 'peacefull', 'strange_dream', 'restful', 'calming', 'lucid', 'night_time', 'dreaming', 'haunting', 'peacefully', 'daydreamed', 'content', 'strange', 'tranquil', 'first_night', 'the_early_hours_of_the_morning', 'dreamt', 'pictured', 'dreary', 'blissful', 'happy_place', 'weird_dream', 'nighttime', 'strange_place', 'peacful', 'imagined', 'dream', 'surreal', 'wakeup', 'haunted', 'relaxing', 'bad_dreams', 'dreamed', 'nightmare', 'slept', 'same_dream', 'nightmares', 'that_night', 'daytime', 'night', 'serene', 'magical']","[13, 31, 12]"
7,medical_emergency,"['cardiac', 'operating', 'schizophrenia']","['conducted', 'sources', 'rehabilitation', 'viruses', 'suffers', 'psychological', 'liability', 'obtained', 'dementia', 'schizophrenia', 'administered', 'identifying', 'underwent', 'conducting', 'conclude', 'phenomenon', 'bipolar_disorder', 'subjected', 'illness', 'commission', 'implemented', 'primarily', 'genetic', 'alzheimer', 'compromised', 'psychologist', 'causes', 'withdrawal', 'undergoing', 'undergone', 'faulty', 'abduction', 'attributed', 'pertaining', 'autism', 'theft', 'surgeon', 'law_enforcement', 'police_force', 'experimentation', 'associated', 'scientific', 'concerning', 'development', 'trauma', 'murders', 'monitoring', 'restriction', 'cured', 'disabled', 'disorder', 'limited', 'monitored', 'communications', 'mechanics', 'detrimental', 'test_subject', 'investigated', 'treatment', 'experimented', 'requiring', 'psychiatrist', 'operations', 'operate', 'eradicated', 'conduct', 'essentially', 'contributing', 'investigating', 'operating', 'seizures', 'early_stages', 'undergo', 'influence', 'dealings', 'prescribed', 'basis', 'critical', 'diagnose', 'side_effects', 'delusions', 'furthermore', 'facilitate', 'terminated', 'kidnapping', 'minor', 'vaccine', 'specialist', 'function', 'ptsd', 'specialized', 'symptoms', 'operated', 'mental_illness', 'mutation', 'operation', 'psychologists', 'handicap', 'qualified', 'disappearances', 'cardiac', 'employed', 'functions', 'medical_emergency', 'utilized', 'association', 'investigations', 'researchers', 'occupation', 'diagnosis']","[102, 39, 28]"
8,cold,"['blizzard', 'touch', 'outside']","['near', 'move', 'cold', 'out', 'disappear', 'pass', 'roof', 'outside', 'freeze', 'dark', 'graveyard', 'then', 'until', 'front', 'open', 'close', 'nearby', 'fire', 'as', 'blizzard', 'inside', 'step', 'behind', 'storm', 'someone', 'enter', 'touch', 'sight', 'reach', 'place', 'stand', 'stopping', 'rain', 'entrance', 'past', 'approach']","[35, 7, 25]"
9,hate,"['selfish', 'kill', 'bad']","['bad', 'awful', 'seriously', 'dangerous', 'worthless', 'hurting', 'good_person', 'regret', 'care', 'unforgivable', 'sick', 'wrong', 'forgive', 'die', 'delusional', 'trust', 'murder', 'happen', 'upset', 'cruel', 'responsible', 'harm', 'hurt', 'scared', 'dumb', 'blackmail', 'selfish', 'stubborn', 'torture', 'why', 'honestly', 'miserable', 'ashamed', 'pity', 'bad_person', 'true', 'bad_guy', 'good', 'spoiled_brat', 'cause', 'because', 'anyway', 'psycho', 'foolish', 'hate', 'blaming', 'greedy', 'angry', 'suffer', 'afraid', 'or', 'if', 'unfaithful', 'forgiving', 'sometimes', 'deserved', 'petty', 'happy', 'coward', 'punish', 'deserve', 'blame', 'wish', 'mad', 'heartless', 'terrible', 'protect', 'pathetic', 'gullible', 'reckless', 'guilty', 'unfair', 'horrible', 'kill', 'idiotic', 'rude', 'understand', 'anymore', 'mean', 'suicidal', 'tough', 'stupid', 'believe']","[86, 5, 30]"
