,categories,seedwords,words
0,help,"['chore', 'responsible', 'help']","['chore', 'sole_purpose', 'primary_responsibility', 'help', 'responsible', 'assist', 'responsibility']"
1,office,"['office', 'laptop', 'bookshelf']","['post_office', 'computer_screen', 'cellphone', 'palm_pilot', 'own_computer', 'hard_drive', 'printer', 'personal_computer', 'keypad', 'vacuum_cleaner', 'stack', 'tv_set', 'backpack', 'typewriter', 'computer_keyboard', 'washing_machine', 'phone_line', 'television_set', 'desk_drawer', 'small_office', 'front_desk', 'shirt_pocket', 'desk', 'pad', 'home_computer', 'tape_recorder', 'beeper', 'briefcase', 'cell_phone', 'copying_machine', 'fax_machine', 'shredder', 'new_computer', 'file_cabinets', 'voice_mail', 'cash_register', 'mobile_phone', 'notebook', 'computer_monitor', 'drawer', 'coffee_table', 'word_processor', 'console', 'filing_cabinet', 'digital_camera', 'pager', 'remote_control', 'box', 'office_door', 'printout', 'address_book', 'files', 'log', 'business_cards', 'office', 'home_office', 'small_room', 'nameplate', 'cubicle', 'cellular_telephone', 'headset', 'calculator', 'bathroom', 'bookshelf', 'projector', 'computer', 'camcorder', 'computer_terminal', 'mailbox', 'cellular_phone', 'desktop', 'machine', 'laptop_computer', 'handset', 'folders', 'suitcase', 'file_cabinet', 'server', 'password', 'cordless_phone', 'dashboard', 'folder', 'laptop', 'modem', 'monitor', 'business_card', 'desktop_computer', 'hard_disk', 'scanner', 'video_camera']"
2,dance,"['choreography', 'dance', 'chord']","['mr_corella', 'modern_dance', 'choreography', 'male_dancers', 'eclecticism', 'balanchine', 'acrobatics', 'drumming', 'classical_technique', 'partnering', 'mr_wheeldon', 'adagio', 'young_dancers', 'mr_kudelka', 'dancing', 'improvisations', 'music', 'ensemble', 'spoken_word', 'mr_varone', 'ballets', 'mime', 'dance_music', 'dissonance', 'interludes', 'ailey', 'excitingly', 'pantomime', 'ballet_technique', 'classical_dancing', 'thrillingly', 'duets', 'dancers', 'vocal_lines', 'bravura', 'singing', 'choreographically', 'solo', 'tango', 'mr_feld', 'spanish_dance', 'electronic_music', 'flamenco', 'classical_idiom', 'ms_whelan', 'ms_childs', 'classical_style', 'pilobolus', 'stagecraft', 'lyricism', 'expressiveness', 'melody', 'chord', 'virtuosity', 'melodies', 'musicality', 'mr_martins', 'ballet', 'theatricality', 'choruses', 'improvisation', 'mr_lubovitch', 'harmonies', 'counterpoint', 'duet', 'fluidity', 'classical_ballet', 'percussion', 'waltzes', 'idiom', 'solos', 'mr_petronio', 'choreographer', 'second_movement', 'mr_woetzel', 'dance', 'other_dancers', 'waltz', 'dances', 'ms_tharp', 'mr_boal', 'rhythms', 'mr_baryshnikov']"
3,money,"['drachma', 'shilling', 'yen']","['commodity_prices', 'weaker_dollar', 'money', 'most_leading_currencies', 'american_securities', 'import_prices', 'foreignexchange_markets', 'american_stocks', 'dinar', 'tokyo_market', 'bond_prices', 'australian_dollar', 'currency_traders', 'european_currencies', 'currency_market', 'japanese_yen', 'national_currency', 'german_central_bank', 'dollar', 'brazilian_currency', 'swiss_franc', 'german_mark', 'british_pound', 'bond_markets', 'currency', 'american_dollar', 'yuan', 'the_european_monetary_system', '100_yen', 'exchange_rates', 'treasury_market', 'other_european_currencies', 'european_central_banks', 'gold_prices', 'drachma', 'baht', 'longterm_interest_rates', 'most_currencies', 'lira', 'japanese_exports', 'rupiah', 'world_markets', 'italian_lira', 'exchange_rate', 'rand', 'leading_currencies', 'major_currencies', 'mexican_peso', 'world_currency_markets', 'peso', 'french_franc', 'most_major_currencies', 'gold_market', 'currency_markets', 'peseta', 'shilling', 'american_currency', 'weakening_dollar', 'major_foreign_currencies', 'central_bank_intervention', 'foreign_currencies', 'franc', 'foreign_central_banks', 'austral', 'japanese_stocks', 'ruble', 'stronger_dollar', 'hong_kong_dollar', 'strong_dollar', 'copper_prices', 'european_markets', 'japanese_stock_market', 'canadian_dollar', 'american_interest_rates', 'economic_allies', 'futures_market', 'currencies', 'tokyo_stock_market', 'rising_dollar', 'share_prices', 'yen', 'other_currencies', 'central_banks', 'devaluation', 'japanese_currency', 'weak_dollar', 'foreign_exchange_markets', 'foreign_exchange_market', 'crude_prices', 'local_currencies', 'german_currency', 'treasury_securities', 'stronger_yen', 'other_major_currencies', 'american_exports', 'west_german_mark', 'euro', 'falling_dollar', 'stock_markets', 'the_bank_of_japan', 'japanese_investors']"
4,wedding,"['planning', 'oldest', 'wed']","['wedding', 'planning', 'oldest', 'wed']"
5,domestic_work,"['chore', 'mom', 'vacuum']","['shrink', 'chore', 'stuff', 'kids', 'whole_family', 'vacuum_cleaner', 'mess', 'fridge', 'little_ones', 'grandma', 'washing_machine', 'dad', 'domestic_work', 'mom', 'vacuum', 'chores', 'laundry', 'kid', 'closet', 'everything', 'closets']"
6,sleep,"['sleepy', 'rest', 'sleep']","['every_night', 'mornings', 'stay', 'waking', 'bedtime', 'miserable', 'late_at_night', 'asleep', 'wander', 'bathe', 'outdoors', 'all_night', 'dark', 'nap', 'sleeps', 'shower', 'cold', 'walk', 'showers', 'home', 'cot', 'naps', 'sleep', 'rest', 'own_bed', 'live', 'shivering', 'exhausted', 'sleepless', 'stomachs', 'good_nights_sleep', 'sleeping', 'sleepy', 'hot_sun', 'slept', 'bed', 'awake', 'few_hours', 'wake', 'all_day', 'cooped', 'next_morning']"
7,medical_emergency,"['medic', 'birth', 'swelling']","['deformities', 'excruciating_pain', 'onset', 'convulsions', 'infant', 'inflammation', 'dementia', 'death', 'suffocation', 'severe_brain_damage', 'spleen', 'childbirth', 'spina_bifida', 'abnormality', 'dying', 'blood_clot', 'other_symptoms', 'brain_injuries', 'birth_defect', 'bedridden', 'muscular_dystrophy', 'fever', 'polio', 'bladder', 'meningitis', 'medic', 'other_ailments', 'bronchitis', 'brain_damage', 'utero', 'ailment', 'gangrene', 'illness', 'dehydration', 'babies', 'intensive_care', 'spinal_cord', 'lung', 'uterus', 'severe_burns', 'amputation', 'swelling', 'sores', 'comatose', 'baby', 'kidney_failure', 'chest_pain', 'ventilator', 'hysterectomy', 'chicken_pox', 'tumor', 'high_fever', 'thyroid', 'infection', 'leukemia', 'fractures', 'heart_problems', 'mastectomy', 'arthritis', 'stillborn', 'newborn', 'severe_pain', 'birth', 'vomiting', 'trauma', 'head_injury', 'memory_loss', 'sickness', 'newborn_baby', 'numbness', 'allergic_reaction', 'fainting', 'fevers', 'baby_girl', 'womb', 'viral_infection', 'diarrhea', 'overdose', 'caesarean_section', 'double_vision', 'delivery_room', 'medical_emergency', 'contractions', 'anesthesia', 'abdomen', 'first_baby', 'rheumatic_fever', 'burns', 'hypothermia', 'appendicitis', 'broken_bones', 'brain_injury', 'early_death', 'ear_infection', 'blindness', 'internal_bleeding', 'chemotherapy', 'kidney_problems', 'colic', 'umbilical_cord']"
8,cold,"['shivering', 'woolly', 'sleet']","['tall_grass', 'heavy_snow', 'hissing', 'freezing_temperatures', 'puddles', 'bright_sun', 'gale', 'steady_rain', 'thunderstorm', 'torrential_rain', 'underfoot', 'raindrops', 'overcast', 'sloshed', 'snowy', 'bright_sunlight', 'sweltering_heat', 'bright_sunshine', 'gnats', 'sea_breeze', 'damp', 'driving_rain', 'snowdrifts', 'gray_sky', 'only_sound', 'green_grass', 'drenched', 'shiver', 'cinders', 'freezing_rain', 'pelting', 'summer_sun', 'cold', 'slush', 'frigid', 'wet', 'drifts', 'cold_rain', 'light_rain', 'seagulls', 'monsoon', 'shivering', 'rainstorm', 'dew', '90degree_heat', 'downpour', 'summer_heat', 'braving', 'shivered', 'hot_sun', 'icicles', 'billowing', 'woolly', 'afternoon_sun', 'midday_sun', 'cold_wind', 'light_snow', 'galeforce_winds', 'drenching', 'sleet', 'bitter_cold']"
9,hate,"['despise', 'vindictive', 'infuriate']","['hate', 'despised', 'mistrust', 'abhor', 'stubborn', 'dishonest', 'pious', 'patronizing', 'lackeys', 'hypocritical', 'insult', 'contemptuous', 'cynical', 'deceitful', 'demonize', 'craven', 'pander', 'insulting', 'duplicitous', 'cowardly', 'callous', 'intolerant', 'deluded', 'vilify', 'unprincipled', 'heartless', 'pandering', 'venal', 'selfish', 'hateful', 'aggrieved', 'deride', 'disparage', 'zealots', 'displease', 'hypocrites', 'bigots', 'ridicule', 'belittle', 'fools', 'homophobic', 'perverted', 'angers', 'cowed', 'revile', 'infuriating', 'racists', 'demean', 'enrage', 'indignant', 'unsympathetic', 'infuriate', 'embarrasses', 'disdainful', 'dislike', 'condescending', 'resent', 'repugnant', 'arrogant', 'disrespectful', 'unpatriotic', 'greedy', 'castigate', 'scorn', 'betray', 'despises', 'cynically', 'ungrateful', 'hurtful', 'detest', 'outrage', 'deplore', 'complicit', 'humiliate', 'indiscreet', 'insults', 'disloyal', 'recoil', 'detests', 'mock', 'insincere', 'scornful', 'xenophobic', 'profess', 'nau00efve', 'alienates', 'loathe', 'distrust', 'righteous', 'obstinate', 'apologists', 'demeaning', 'sexist', 'demonizing', 'infuriates', 'liars', 'despise', 'denigrating', 'offends', 'vindictive', 'despicable']"
