,categories,seedwords,words
0,help,['chore'],"['help', 'chore', 'hardest_part', 'bother', 'hassle', 'chores', 'small_things', 'tedious']"
1,office,['office'],"['mr_kerik', 'new_office', 'manhattan_office', 'office', 'own_office', 'top_aides', 'the_district_attorneys', 'district_office', 'mr_harding']"
2,dance,['choreography'],"['jock_soto', 'ensemble', 'spareness', 'ms_kistler', 'mr_martins', 'excitingly', 'ballet_technique', 'darci_kistler', 'partnering', 'mime', 'george_balanchine', 'conducting', 'mr_baryshnikov', 'mr_boal', 'balanchine', 'kyra_nichols', 'choreographically', 'mr_petronio', 'idiom', 'deux', 'mr_wheeldon', 'improvisations', 'ms_whelan', 'fluidity', 'dances', 'classical_idiom', 'other_dancers', 'solo', 'interludes', 'classical_ballet', 'lyricism', 'second_movement', 'adagio', 'mr_kudelka', 'first_movement', 'ballets', 'theatricality', 'the_city_ballet', 'ashton', 'ballerina', 'modern_dance', 'classical_technique', 'stage_direction', 'choreography', 'naturalness', 'orchestration', 'classical_style', 'classical_dancing', 'mr_bocca', 'male_dancers', 'duet', 'stagecraft', 'dance', 'mr_la_fosse', 'choreographed', 'giselle', 'third_movement', 'albert_evans', 'solos', 'damian_woetzel', 'choreographer', 'mr_lubovitch', 'swan_lake', 'staging', 'improvisation', 'wendy_whelan', 'ailey', 'virtuosity', 'ms_childs', 'mr_feld', 'mr_corella', 'pilobolus', 'mr_varone', 'duets', 'mr_stiefel', 'bravura', 'phrasing', 'musicality', 'expressiveness', 'ballet', 'ms_tharp', 'mr_tomasson', 'dancers', 'george_balanchines', 'mr_woetzel', 'petipa']"
3,money,['drachma'],"['australian_dollar', 'peseta', 'drachma', 'money']"
4,wedding,['planning'],"['hoping', 'planning', 'plan', 'hoped', 'hopes', 'planned', 'wedding', 'plans', 'scheduled', 'intends', 'preparing', 'decided']"
5,domestic_work,['chore'],"['chore', 'hardest_part', 'bother', 'hassle', 'chores', 'small_things', 'tedious', 'domestic_work']"
6,sleep,['sleepy'],"['serene', 'humid', 'sleepy', 'sullen', 'dazed', 'cheery', 'tranquil', 'cheerful', 'disoriented', 'noisy', 'disheveled', 'lonesome', 'cranky', 'bleary', 'chilly', 'rowdy', 'deserted', 'windy', 'snowy', 'foggy', 'scruffy', 'frigid', 'sweaty', 'balmy', 'icy', 'seedy', 'drowsy', 'rainy', 'carefree', 'smelly', 'cramped', 'claustrophobic', 'sunny', 'dreary', 'harried', 'forlorn', 'shabby', 'overcast', 'grumpy', 'frazzled', 'sleep', 'boisterous', 'misty', 'placid', 'dank', 'desolate', 'dusty', 'dizzy', 'muddy', 'barren', 'grimy', 'filthy']"
7,medical_emergency,['medic'],"['naval_officer', 'commando', '82nd_airborne_division', 'sergeant', 'the_british_army', 'paramedic', 'prison_guard', 'reservist', 'serviceman', 'company_commander', 'united_states_navy', 'single_bullet', 'fighter_pilot', 'cadet', 'medical_emergency', 'lieutenant', 'commandant', 'the_army_reserve', 'commanding_officer', 'paratrooper', 'enlisted_man', 'the_air_national_guard', 'army_officer', 'land_mine', 'bullet_wound', 'medical_officer', 'mr_spann', 'staff_sgt', 'marine_corps', 'prison_camp', 'uninjured', 'army_sergeant', 'marine', 'the_green_berets', 'comdr', 'bodyguard', 'wounded_man', 'german_soldier', 'pfc', 'ambulance_driver', 'intelligence_officer', 'first_victim', 'infantryman', 'the_united_states_army', 'american_soldier', 'policeman', 'american_serviceman', 'first_lieutenant', 'staff_sergeant', 'corporal', 'navy_pilot', 'retired_officer', 'airman', 'field_hospital', 'old_soldier', 'deserter', 'seaman', 'welder', 'medic', 'cmdr', 'military_hospital', 'ahmed', 'special_forces', 'young_soldier', 'construction_worker', 'deputy_commander', 'first_officer', 'united_states_army', '101st_airborne_division', 'colonel', 'cpl', 'security_officer', 'fireman', 'navigator', 'crewman', 'young_officer', 'medics', 'pvt', 'gunner', 'truck_driver', 'wounded_soldiers', 'soldier', 'helicopter_pilot']"
8,cold,['shivering'],"['forlornly', 'flapping', 'hammock', 'midday_sun', '90degree_heat', 'napping', 'hut', 'driving_rain', 'lounged', 'weeping', 'moaning', 'crouched', 'contentedly', 'dark_room', 'sleeping_bag', 'shivering', 'squatting', 'noisily', 'sweating', 'hot_sun', 'wet', 'bunk', 'bare_feet', 'hissing', 'whooping', 'uncontrollably', 'sweaty', 'shivered', 'lawn_chairs', 'gasping', 'wailing', 'trembling', 'splashing', 'broken_glass', 'barefoot', 'only_sound', 'crawling', 'shoeless', 'heaving', 'squirming', 'cold_rain', 'huddling', 'panting', 'sprawled', 'writhing', 'dusk', 'pawing', 'cowering', 'squatted', 'placidly', 'trudging', 'tall_grass', 'kitchen_window', 'dozing', 'lolling', 'squinting', 'cold', 'crouching', 'listlessly', 'hugging', 'pouring_rain', 'shrieking', 'wailed', 'braving', 'sullenly', 'park_bench']"
9,hate,['despise'],"['despise', 'ostracize', 'pander', 'intolerant', 'insult', 'hating', 'adore', 'professing', 'disdain', 'fools', 'rebel', 'cowed', 'liars', 'espouse', 'empathize', 'yearn', 'loathe', 'hate', 'decry', 'belittle', 'desert', 'revile', 'envy', 'selfish', 'oppressors', 'nonbelievers', 'religious_people', 'idealists', 'fanatics', 'denigrate', 'jealous', 'racists', 'ignorant', 'profess', 'infuriates', 'zealots', 'oppressed', 'revere', 'loathed', 'mistrusted', 'oppress', 'offends', 'alienates', 'abhor', 'terrify', 'brainwashed', 'ungrateful', 'deplore', 'demean', 'disparage', 'disgusted', 'scorn', 'sneer', 'lackeys', 'theirs', 'despised', 'insults', 'sympathize', 'wronged', 'pity', 'resenting', 'dislike', 'persecute', 'misunderstand', 'righteous', 'betray', 'stereotype', 'demonize', 'bigots', 'displease', 'distrust', 'decent_people', 'mistrust', 'deluded', 'scornful', 'oppressing', 'despises', 'damned', 'moralists', 'detested', 'resent', 'motivates', 'mock', 'angers', 'humiliate', 'cowardly', 'insulting', 'recoil', 'deluding', 'ridicule', 'frightens', 'fellow_citizens', 'hypocritical', 'contemptuous', 'curse', 'hypocrites', 'detest', 'vilify', 'offend', 'cringe', 'infuriate']"
