,categories,seedwords,words,rseeds
0,help,"['entrust', 'favor', 'duty', 'rely', 'treat']","['court', 'abandon', 'consult', 'therefore', 'favor', 'claim', 'serve', 'dirty_work', 'trust', 'free_will', 'privilege', 'own_time', 'favour', 'entrust', 'reward', 'responsible', 'oppose', 'impose', 'endanger', 'protect', 'desire', 'good_deed', 'justice', 'depend', 'behave', 'compromise', 'death_sentence', 'loyalty', 'offer', 'entrusted', 'rely', 'respect', 'because', 'responsibility', 'needs', 'favors', 'honour', 'pleases', 'treated', 'greater_good', 'sacrifices', 'morals', 'help', 'more_respect', 'employ', 'educate', 'treat', 'neglect', 'responsibilities', 'benefit', 'sacrifice', 'obligation', 'honor', 'discipline', 'obligations', 'privileges', 'duty', 'accept', 'family_name', 'best_interest']","[58, 17, 27, 32, 36]"
1,office,"['projector', 'employee', 'administrative', 'typewriter', 'consultation']","['security_camera', 'roster', 'office', 'flyer', 'costumer', 'desktop', 'few_papers', 'bulletin_board', 'employees', 'document', 'cash_register', 'cashiers', 'survey', 'typewriter', 'whiteboard', 'staff_member', 'magazine', 'technician', 'concierge', 'worker', 'cameraman', 'tab', 'white_board', 'hostess', 'chart', 'client', 'ids', 'till', 'resume', 'files', 'filing_cabinet', 'detective', 'computer', 'printer', 'name_plate', 'gadget', 'folder', 'computer_screens', 'imac', 'program', 'station', 'screens', 'catalog', 'projector', 'computers', 'tapes', 'records', 'application', 'clerk', 'main_desk', 'panel', 'customer', 'file', 'video_camera', 'portfolio', 'blueprints', 'tablet', 'documents', 'receptionist', 'office_desk', 'diagram', 'id_card', 'flash_drive', 'section', 'secretary', 'pamphlet', 'desk', 'reporter', 'administrator', 'assistant', 'article', 'gallery', 'agent', 'register', 'employee', 'booklet', 'leaflet', 'scanner', 'directory', 'organizer', 'director', 'consultation', 'flier', 'brochure', 'report', 'ads', 'administrative', 'brochures', 'giant_screen', 'huge_screen', 'recorder', 'large_screen', 'tape_recorder', 'advertisement']","[42, 11, 13, 79, 46]"
2,dance,"['radio', 'turns', 'swaying', 'rehearsing', 'onstage']","['tune', 'dance', 'humming', 'turns', 'switches', 'rehearsing', 'bopping', 'music', 'cranks', 'soft_music', 'blasting', 'bobbing', 'cued', 'jamming', 'full_blast', 'dancing', 'sings', 'hum', 'blaring', 'jukebox', 'rapping', 'belting', 'dj', 'playing', 'slow_music', 'elvis', 'shuffle', 'dances', 'whistling', 'tunes', 'music_playing', 'turning', 'singing', 'blasts', 'turn', 'slow_song', 'swaying', 'cranked', 'onstage', 'tuning', 'sound_system', 'familiar_tune', 'sway', 'radio', 'speakers', 'crank', 'stereo']","[21, 17, 16, 27, 7]"
3,money,"['deduct', 'retail', 'membership', 'buyer', 'peso']","['retail', 'peso', 'income_year', 'stipulation', 'transactions', 'testator', 'provision', 'limitation', 'documentation', 'regulation', 'income', 'licensed', 'funding', 'provisions', 'division', 'donation', 'money', 'exceeds', 'expenditure', 'policy', 'subdivision', 'financial', 'incurred', 'wages', 'profits', 'assets', 'incur', 'specified', 'site', 'ownership', 'sponsor', 'debtor', 'associate', 'additional', 'seller', 'commissioner', 'participation', 'percentage', 'accordance', 'subsection', 'thereof', 'partnership', 'tax', 'deduction', 'wage', 'pension', 'profit', 'payment', 'creditor', 'termination', 'income_tax', 'assessable_income', 'depreciating_asset', 'acquisition', 'penalties', 'commission', 'reduction', 'deposit', 'contributions', 'kohl', 'operations', 'applicable', 'compensation', 'buyer', 'congress', 'employment', 'investment', 'deducted', 'article', 'donations', 'contribution', 'constitution', 'contractor', 'investors', 'payments', 'deduct', 'membership', 'expressly', 'currency', 'asset', 'resource', 'fund', 'exempt', 'allowances']","[23, 50, 47, 16, 76]"
4,wedding,"['son', 'courtship', 'prospective', 'caterer', 'bonding']","['beloved_daughter', 'heir', 'motherinlaw', 'elder', 'second_wife', 'younger_son', 'oldest_son', 'provider', 'only_son', 'stepson', 'beloved_wife', 'youngest_child', 'own_children', 'new_husband', 'first_daughter', 'wife', 'niece', 'birth_father', 'eldest_child', 'unmarried', 'family', 'fiancu00e9e', 'soninlaw', 'daughterinlaw', 'son', 'biological', 'prospective', 'oldest_daughter', 'youngest_son', 'new_son', 'widower', 'guardianship', 'daughters', 'business_deal', 'sons', 'second_son', 'birth_mother', 'advisor', 'wealthy_man', 'first_son', 'brotherinlaw', 'mistresses', 'betrothed', 'grandsons', 'new_wife', 'family_business', 'grandchild', 'business_partner', 'bonding', 'pregnant_wife', 'exwife', 'inlaws', 'wedding', 'biological_father', 'tragic_death', 'eloped', 'caterer', 'first_wife', 'youngest_daughter', 'wedded', 'fathered', 'marries', 'courtship', 'fiancu00e9', 'personal_servant', 'future_wife', 'eldest_daughter', 'older_son', 'father', 'family_name', 'mistress', 'first_child', 'own_kids', 'future_children', 'nephew', 'grandson', 'great_grandfather', 'rich_man', 'third_child', 'sisterinlaw', 'granddaughter', 'husband', 'halfbrother', 'exhusband', 'eldest_son', 'second_child', 'spouse', 'daughter', 'fiancee', 'marriage', 'only_daughter', 'illegitimate', 'successor', 'inheriting', 'betrothal', 'godfather']","[52, 15, 46, 77, 91]"
5,domestic_work,"['laundry', 'chore', 'housework', 'home', 'morning']","['apartment', 'early', 'dinner', 'meals', 'sunday_morning', 'the_next_day', 'saturday_morning', 'usual_routine', 'cleaners', 'home', 'yard_work', 'daily_routine', 'night', 'day', 'this_morning', 'packing', 'breakfast', 'house', 'brunch', 'homework', 'domestic_work', 'afternoon', 'housework', 'chore', 'clean', 'chores', 'sunday', 'evening', 'laundry', 'weekend', 'cleaning', 'today', 'grocery_shopping', 'morning', 'mornings', 'the_day', 'work', 'supper']","[13, 1, 37, 40, 9]"
6,sleep,"['asleep', 'dream', 'tiring', 'quilt', 'exhausted']","['soft_bed', 'the_early_hours_of_the_morning', 'deep_sleep', 'jet_lag', 'drowsy', 'groggy', 'awake', 'quilt', 'wake', 'peacefully', 'dreamland', 'sleeping', 'sleep', 'comfy_bed', 'woke', 'night', 'woken', 'last_night', 'deep_slumber', 'bed', 'comfortable_bed', 'nightmare', 'sleepy', 'dreaming', 'exhaustion', 'strange_dream', 'asleep', 'restless_sleep', 'nap', 'restless_night', 'long_nap', 'little_sleep', 'tiring', 'dozed', 'slept', 'sleepless_night', 'long_sleep', 'waking', 'own_bed', 'soundly', 'peaceful', 'exhausted', 'dream', 'peaceful_sleep', 'dreamless_sleep', 'tired']","[20, 52, 9, 18, 38]"
7,medical_emergency,"['sedative', 'medical', 'painkiller', 'health', 'pharmacy']","['infection', 'procedure', 'scans', 'doctors', 'damages', 'recovery', 'institution', 'medications', 'injuries', 'therapy', 'health', 'medicines', 'painkiller', 'sedatives', 'income', 'consumption', 'repairs', 'delivery', 'cures', 'nurse', 'formula', 'therapy_sessions', 'blood_samples', 'injection', 'serum', 'prescriptions', 'sickness', 'funds', 'medical', 'tests', 'donation', 'chemotherapy', 'diagnosis', 'physician', 'pain_medication', 'labour', 'pain_meds', 'doses', 'treatment', 'medical_emergency', 'testing', 'transplant', 'sustenance', 'examination', 'injury', 'psychiatrist', 'pharmacy', 'symptoms', 'meds', 'radiation', 'psychologist', 'doctor', 'clinic', 'operation', 'chemo', 'blood_tests', 'nursed', 'prescribed', 'surgeons', 'monthly', 'supply', 'nutrition', 'blood_test', 'payment', 'illness', 'sample', 'painkillers', 'discharge', 'condition', 'medicine', 'surgeon', 'antibiotics', 'services', 'morphine', 'dosage', 'medication', 'medical_treatment', 'treatments', 'antidepressants', 'blood_sample', 'replenish', 'illnesses', 'first_aid', 'surgery', 'nutrients', 'healing', 'undergoing', 'patients', 'sedative', 'cure', 'antidote', 'specialist', 'donor', 'finances', 'injections', 'payments', 'department', 'diseases', 'infections', 'medically', 'prescription', 'insurance', 'patient', 'side_effects', 'administer', 'administered', 'vitamins', 'system', 'prescribe', 'pharmacist', 'transfusion']","[105, 83, 87, 34, 7]"
8,cold,"['froze', 'shivering', 'shivering', 'shivering', 'shivering']","['quivering', 'cold_room', 'cowering', 'shuddering', 'frozen', 'panting', 'shivering', 'wet', 'cold_night', 'gasping', 'cold_rain', 'panicked', 'flinching', 'shuttered', 'coldness', 'stiff', 'freezing_air', 'breathing', 'froze', 'clinging', 'trembling', 'damp', 'convulsing', 'soaking', 'motionless', 'paralysed', 'cold_air', 'shivering_body', 'hyperventilating', 'flinched', 'drenched', 'quaking', 'squirming', 'shuddered', 'cold_body', 'stiffened', 'freezing', 'panicking', 'cringing', 'dampness', 'limp', 'relaxed', 'ice', 'paralyzed', 'shaking', 'shivered', 'whimpering', 'sobbing', 'gasped', 'shiver', 'soaked', 'cold', 'trembled', 'tensed', 'tremble', 'unmoving', 'tingling', 'sweating']","[10, 1, 1, 1, 1]"
9,hate,"['unreasonable', 'sexist', 'ignore', 'disrespect', 'sexist']","['criticized', 'respectful', 'heartless', 'hateful', 'disobey', 'idiotic', 'unreasonable', 'infuriates', 'harass', 'insulting', 'ignore', 'unfair', 'insult', 'despise', 'disregard', 'sympathize', 'irrelevant', 'persistent', 'annoy', 'neglect', 'pity', 'conceited', 'belittle', 'hurtful', 'mock', 'immature', 'incompetent', 'ridicule', 'hypocritical', 'hypocrite', 'irresponsible', 'vulgar', 'offensive', 'arrogant', 'dislike', 'degrading', 'unkind', 'insensitive', 'disgust', 'nosy', 'petty', 'respect', 'rude', 'homophobic', 'overreact', 'insulted', 'tolerated', 'disrespecting', 'nuisance', 'disapprove', 'detest', 'cruel', 'truthful', 'criticize', 'blame', 'bitchy', 'misunderstood', 'provoke', 'act', 'degrade', 'misunderstand', 'accuse', 'disrespectful', 'understand', 'disrespect', 'spiteful', 'judgemental', 'punish', 'irrational', 'disrespected', 'unacceptable', 'spoiled_brat', 'despicable', 'untrustworthy', 'justify', 'rational', 'disagree', 'sexist', 'narcissistic', 'stupid', 'selfish', 'inconsiderate', 'anger', 'trust', 'judgmental', 'aggravating', 'hate', 'perverted', 'ignorant', 'ungrateful', 'pathetic', 'dishonest', 'impolite', 'tolerate', 'cowardly', 'irritate', 'aggravate', 'stubborn', 'pushy', 'mean']","[99, 4, 29, 44, 4]"
10,cheerfulness,"['clapping', 'joy', 'jubilant', 'giddy', 'satisfaction']","['satisfaction', 'cheerfulness', 'proudness', 'merriment', 'fright', 'excitment', 'cheering', 'clapped', 'anticipation', 'mirth', 'awed', 'happiness', 'pride', 'enjoyment', 'enthusiasm', 'triumphant', 'adoration', 'little_bundle', 'infectious', 'eagerness', 'contentment', 'so_much_joy', 'delight', 'cheered', 'giddiness', 'pure_excitement', 'admiration', 'joyous', 'victory', 'applauding', 'appreciation', 'overjoyed', 'little_dance', 'joy', 'squealing', 'excitement', 'sheer_joy', 'widely', 'anxiousness', 'jubilant', 'beam', 'thrill', 'joyful', 'accomplishment', 'pure_joy', 'pure_happiness', 'clap', 'clapping', 'rejoiced', 'happily', 'triumph', 'praise', 'exuberance', 'giddy', 'joyfully', 'audience', 'gleefully', 'exhilaration', 'pleasure', 'cheers', 'glee', 'elation', 'gratitude', 'laughter']","[40, 28, 34, 26, 42]"
